ก	k	kʼ	k	k	m
ข	kʰ	kʼ	kh	k	h
ฃ	kʰ	kʼ	kh	k	h
ค	kʰ	kʼ	kh	k	l
ฅ	kʰ	kʼ	kh  k	l
ฆ	kʰ	kʼ	kh	k	l
ง	ŋ	ŋ	ng	ng	l
จ	tc	tʼ	ch	t	m
ฉ	tcʰ	-	ch	-	h
ช	tcʰ	tʼ	ch	t	l
ซ	s	tʼ	s	t	l
ฌ	tcʰ	-	ch	t	l
ญ	j	n	y	n	l
ฎ	d	tʼ	d	t	m
ฏ	t	t	t	t	m
ฐ	tʰ	tʼ	th	t	h
ฑ	tʰ	tʼ	th	t	l
ฒ	tʰ	tʼ	th	t	l
ณ	n	n	n	n	l
ด	d	tʼ	d	t	m
ต	t	tʼ	t	t	m
ถ	tʰ	tʼ	th	t	h
ท	tʰ	tʼ	th	t	l
ธ	tʰ	tʼ	th	t	l
น	n	n	n	n	l
บ	b	pʼ	b	p	m
ป	pʰ	pʼ	p	p	m
ผ	pʰ	-	ph	-	h
ฝ	f	-	f	-	h
พ	pʰ	pʼ	ph	p	l
ฟ	f	pʼ	f	p	l
ภ	pʰ	pʼ	ph	p	l
ม	m	m	m	m	l
ย	j	j	y	y	l
ร	r	n	r	n	l
ล	l	n	l	n	l
ว	w	w	w	w	l
ศ	s	tʼ	s	t	h
ษ	s	tʼ	s	t	h
ส	s	tʼ	s	t	h
ห	h	-	h	-	h
ฬ	l	n	l	n	l
อ	-	ʔ	-	-	m
ฮ	h	-	h	-	l

